column,dataset,dtype,n_unique,n_missing,pct_missing
id,listings,int64,30259,0,0.0
listing_url,listings,str,30259,0,0.0
scrape_id,listings,int64,1,0,0.0
last_scraped,listings,str,4,0,0.0
source,listings,str,2,0,0.0
name,listings,str,28835,1,0.0
description,listings,str,24173,902,2.98
neighborhood_overview,listings,float64,0,30259,100.0
picture_url,listings,str,29608,0,0.0
host_id,listings,int64,16474,0,0.0
host_url,listings,str,16474,0,0.0
host_profile_id,listings,float64,16385,349,1.15
host_profile_url,listings,str,16386,349,1.15
host_name,listings,str,7001,349,1.15
host_since,listings,float64,0,30259,100.0
hosts_time_as_user_years,listings,float64,18,349,1.15
hosts_time_as_user_months,listings,float64,12,349,1.15
hosts_time_as_host_years,listings,float64,16,349,1.15
hosts_time_as_host_months,listings,float64,12,349,1.15
host_location,listings,str,713,7162,23.67
host_about,listings,str,9242,12410,41.01
host_response_time,listings,float64,0,30259,100.0
host_response_rate,listings,float64,0,30259,100.0
host_acceptance_rate,listings,float64,0,30259,100.0
host_is_superhost,listings,str,2,349,1.15
host_thumbnail_url,listings,float64,0,30259,100.0
host_picture_url,listings,str,15949,349,1.15
host_neighbourhood,listings,float64,0,30259,100.0
host_listings_count,listings,float64,132,349,1.15
host_total_listings_count,listings,float64,0,30259,100.0
host_verifications,listings,float64,0,30259,100.0
host_has_profile_pic,listings,str,2,349,1.15
host_identity_verified,listings,str,2,349,1.15
neighbourhood,listings,float64,0,30259,100.0
neighbourhood_cleansed,listings,str,223,0,0.0
neighbourhood_group_cleansed,listings,str,5,0,0.0
latitude,listings,float64,20100,0,0.0
longitude,listings,float64,18697,0,0.0
property_type,listings,str,69,0,0.0
room_type,listings,str,4,0,0.0
accommodates,listings,int64,16,0,0.0
bathrooms,listings,float64,19,10112,33.42
bathrooms_text,listings,str,33,159,0.53
bedrooms,listings,float64,16,10973,36.26
beds,listings,float64,20,9420,31.13
amenities,listings,str,25118,0,0.0
price,listings,str,11417,8744,28.9
price_quote_checkin_date,listings,str,334,7581,25.05
price_quote_checkout_date,listings,str,357,7581,25.05
price_quote_total_price,listings,float64,12475,8745,28.9
price_quote_price_per_night,listings,float64,11417,8745,28.9
price_quote_raw,listings,str,19766,7581,25.05
minimum_nights,listings,float64,86,2,0.01
maximum_nights,listings,float64,231,2,0.01
minimum_minimum_nights,listings,float64,86,2,0.01
maximum_minimum_nights,listings,float64,118,2,0.01
minimum_maximum_nights,listings,float64,225,2,0.01
maximum_maximum_nights,listings,float64,231,2,0.01
minimum_nights_avg_ntm,listings,float64,349,0,0.0
maximum_nights_avg_ntm,listings,float64,871,0,0.0
calendar_updated,listings,float64,0,30259,100.0
has_availability,listings,str,2,347,1.15
availability_30,listings,int64,31,0,0.0
availability_60,listings,int64,61,0,0.0
availability_90,listings,int64,91,0,0.0
availability_365,listings,int64,366,0,0.0
calendar_last_scraped,listings,str,4,0,0.0
number_of_reviews,listings,int64,528,0,0.0
number_of_reviews_ltm,listings,int64,163,0,0.0
number_of_reviews_l30d,listings,int64,38,0,0.0
availability_eoy,listings,int64,202,0,0.0
number_of_reviews_ly,listings,int64,164,0,0.0
estimated_occupancy_l365d,listings,int64,50,0,0.0
estimated_revenue_l365d,listings,float64,7417,8744,28.9
first_review,listings,str,4595,8559,28.29
last_review,listings,str,3268,8559,28.29
review_scores_rating,listings,float64,155,8559,28.29
review_scores_accuracy,listings,float64,152,8565,28.31
review_scores_cleanliness,listings,float64,175,8559,28.29
review_scores_checkin,listings,float64,129,8567,28.31
review_scores_communication,listings,float64,144,8562,28.3
review_scores_location,listings,float64,146,8568,28.32
review_scores_value,listings,float64,166,8568,28.32
license,listings,str,2019,24973,82.53
instant_bookable,listings,float64,0,30259,100.0
calculated_host_listings_count,listings,int64,70,0,0.0
calculated_host_listings_count_entire_homes,listings,int64,52,0,0.0
calculated_host_listings_count_private_rooms,listings,int64,40,0,0.0
calculated_host_listings_count_shared_rooms,listings,int64,10,0,0.0
reviews_per_month,listings,float64,767,8559,28.29
listing_id,calendar,int64,30555,0,0.0
date,calendar,datetime64[us],374,0,0.0
available,calendar,str,2,0,0.0
minimum_nights,calendar,int64,141,0,0.0
maximum_nights,calendar,int64,296,0,0.0
listing_id,reviews,int64,21939,0,0.0
id,reviews,int64,990170,0,0.0
date,reviews,datetime64[us],5833,0,0.0
reviewer_id,reviews,int64,870793,0,0.0
reviewer_name,reviews,str,125280,3,0.0
comments,reviews,str,948851,272,0.03
neighbourhood_group,neighbourhoods,str,5,0,0.0
neighbourhood,neighbourhoods,str,230,0,0.0
